lng,lat,UNIQUE_ID,Sighting Order,RECORD_ID,STATUS,SOURCE,STARTDATE,SRC_GROUP,LBP_USAGE,LBPBUFF_ID,RECORDTYPE,XCOORD,YCOORD,Method,species,common name
145.87575,-37.80101698,629,#58,8436807,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),29/9/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT342.1,New (verified) record post-February 2014,145.87575,-37.801017,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.8768999,-37.79899999,696,#82,0,VERIFIED,PENDING LOAD TO VICTORIAN BIODIVERSITY ATLAS,,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT342.2,New (verified) record post-February 2014,145.8769,-37.799,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.883717,-37.84520003,591,#32,8436778,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),29/8/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT323.3,New (verified) record post-February 2014,145.883717,-37.8452,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.8863,-37.37454999,646,#75,8491861,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),31/10/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT349.1,New (verified) record post-February 2014,145.8863,-37.37455,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.887017,-37.84455,590,#31,8436777,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),29/8/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT323.2,New (verified) record post-February 2014,145.887017,-37.84455,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.887167,-37.82310004,873,#107,0,VERIFIED,PENDING LOAD TO VICTORIAN BIODIVERSITY ATLAS,,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT407.1,New (verified) record post-February 2014,145.887167,-37.8231,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.887917,-37.37804997,644,#73,8491859,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),29/10/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT347.1,New (verified) record post-February 2014,145.887917,-37.37805,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.8912499,-37.84384999,589,#30,8436776,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),29/8/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT323.1,New (verified) record post-February 2014,145.89125,-37.84385,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.891417,-37.85530005,592,#33,8436779,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),29/8/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT324.1,New (verified) record post-February 2014,145.891417,-37.8553,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.894633,-37.38554998,571,#16,8436758,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),8/8/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT317.2,New (verified) record post-February 2014,145.894633,-37.38555,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.8949,-37.38808299,570,#15,8436757,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),6/8/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT317.1,New (verified) record post-February 2014,145.8949,-37.388083,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
